id,category,severity,anomaly_score,detection_method,ai_explanation,transaction_amount,customer_id,merchant,location,timestamp,risk_flags
ANM-000022,"Account Dormancy",high,0.812,"Activity Monitor","Transaction on dormant account after 6 months",9870.00,CUST-2345,LuxuryJewelry,"Philadelphia, PA",2024-01-15T04:45:00Z,dormant_active
ANM-000023,"Velocity Pattern",medium,0.698,"Sequence Analysis","Rapid small transactions followed by large one",4567.00,CUST-8901,OnlineServices,"San Antonio, TX",2024-01-15T05:00:00Z,velocity_pattern
ANM-000024,"Risk Score Spike",high,0.923,"Composite Scoring","Combined risk factors exceed threshold",11234.00,CUST-5678,HighRiskVendor,"San Jose, CA",2024-01-15T06:15:00Z,composite_risk
ANM-000025,"Channel Hopping",medium,0.734,"Channel Analysis","Unusual switching between payment channels",3890.00,CUST-1234,MultiChannel,"Columbus, OH",2024-01-15T07:30:00Z,channel_switch
ANM-000026,"Peer Deviation",low,0.567,"Peer Group Analysis","Spending differs from similar customer segment",1234.00,CUST-6789,GeneralRetail,"Indianapolis, IN",2024-01-15T08:45:00Z,peer_outlier
ANM-000027,"API Anomaly",high,0.889,"API Monitoring","Suspicious API call patterns detected",7890.00,CUST-3456,TechPlatform,"Austin, TX",2024-01-15T09:00:00Z,api_abuse
ANM-000028,"Round Amount",medium,0.645,"Pattern Detection","Multiple round-amount transactions",5000.00,CUST-7890,MoneyTransfer,"Jacksonville, FL",2024-01-15T10:15:00Z,round_amounts
ANM-000029,"Age Mismatch",medium,0.723,"Demographic Analysis","Purchase inconsistent with account holder age",2567.00,CUST-2345,OnlineClub,"Memphis, TN",2024-01-15T11:30:00Z,age_inappropriate
ANM-000030,"Merchant Category",high,0.856,"MCC Analysis","First transaction in restricted category",8765.00,CUST-8901,RestrictedMCC,"Baltimore, MD",2024-01-15T12:45:00Z,mcc_restricted
ANM-000031,"Split Transaction",medium,0.678,"Transaction Linking","Large amount split to avoid reporting",4999.00,CUST-5678,CashIntensive,"Milwaukee, WI",2024-01-15T13:00:00Z,structuring
ANM-000032,"Weekend Pattern",low,0.512,"Behavioral Analysis","Atypical weekend spending pattern",987.00,CUST-1234,WeekendShop,"Louisville, KY",2024-01-15T14:15:00Z,weekend_unusual
ANM-000033,"IP Geolocation",high,0.901,"IP Intelligence","Transaction IP doesn't match billing location",6543.00,CUST-6789,OnlineVendor,"Oklahoma City, OK",2024-01-15T15:30:00Z,ip_mismatch
ANM-000034,"Referral Chain",medium,0.756,"Network Analysis","Part of suspicious referral network",3456.00,CUST-3456,AffiliateShop,"Las Vegas, NV",2024-01-15T16:45:00Z,referral_abuse
ANM-000035,"Testing Pattern",high,0.834,"Fraud Pattern","Small test transactions before large one",9876.00,CUST-7890,VariousMerchants,"Portland, ME",2024-01-15T17:00:00Z,testing_pattern
ANM-000036,"Social Engineering",high,0.945,"Behavioral Detection","Transaction follows social engineering indicators",15678.00,CUST-2345,UrgentTransfer,"Richmond, VA",2024-01-15T18:15:00Z,social_engineering
ANM-000037,"Data Breach Link",high,0.867,"Threat Intelligence","Card used at breached merchant",4567.00,CUST-8901,BreachedVendor,"Hartford, CT",2024-01-15T19:30:00Z,breach_exposure
ANM-000038,"Unusual Product",medium,0.689,"Product Analysis","Purchase outside typical product categories",2345.00,CUST-5678,SpecialtyGoods,"Providence, RI",2024-01-15T20:45:00Z,product_anomaly
ANM-000039,"Account Takeover",high,0.978,"Multi-Factor Analysis","Multiple indicators of account compromise",12345.00,CUST-1234,VariousOnline,"Buffalo, NY",2024-01-15T21:00:00Z,ato_suspected
ANM-000040,"Biometric Mismatch",high,0.823,"Biometric Verification","Biometric authentication failed multiple times",5678.00,CUST-6789,SecurePayment,"Rochester, NY",2024-01-15T22:15:00Z,biometric_fail
ANM-000041,"Proxy Detection",medium,0.734,"Network Analysis","Transaction routed through proxy server",3456.00,CUST-3456,OnlineMarket,"Syracuse, NY",2024-01-15T23:30:00Z,proxy_detected
ANM-000042,"Risk Aggregation",high,0.889,"Risk Aggregator","Multiple small risks combine to high risk",7890.00,CUST-7890,MultiVendor,"Albany, NY",2024-01-16T00:45:00Z,aggregate_risk
ANM-000043,"Watchlist Match",high,0.956,"Sanctions Screening","Entity matches watchlist entry",18900.00,CUST-2345,IntlWire,"Newark, NJ",2024-01-16T01:00:00Z,watchlist_hit
ANM-000044,"Collusion Pattern",high,0.867,"Link Analysis","Potential collusion between accounts",6789.00,CUST-8901,P2PTransfer,"Jersey City, NJ",2024-01-16T02:15:00Z,collusion_suspected
ANM-000045,"Manual Override",medium,0.645,"Audit Trail","Transaction approved despite system decline",4321.00,CUST-5678,RetailStore,"Trenton, NJ",2024-01-16T03:30:00Z,manual_override
ANM-000046,"Clustering Anomaly",medium,0.712,"DBSCAN Clustering","Transaction falls outside all normal clusters",2987.00,CUST-1234,UnusualMerchant,"Camden, NJ",2024-01-16T04:45:00Z,cluster_outlier
ANM-000047,"Sequence Break",high,0.834,"Sequential Analysis","Expected transaction sequence violated",8765.00,CUST-6789,OnlinePayment,"Wilmington, DE",2024-01-16T05:00:00Z,sequence_violation
ANM-000048,"ML Confidence",low,0.523,"Model Uncertainty","Model confidence below threshold",1234.00,CUST-3456,StandardRetail,"Dover, DE",2024-01-16T06:15:00Z,low_confidence
ANM-000049,"Registry Flag",high,0.901,"Registry Check","Customer on internal watch registry",9999.00,CUST-7890,HighValueTrans,"Annapolis, MD",2024-01-16T07:30:00Z,registry_flagged
